,No,year,month,day,hour,season,PM_Dongsi,PM_Dongsihuan,PM_Nongzhanguan,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
39,40,2010,1,2,15,4,-1,-1,-1,159,-9.0,73.0,1025.0,-5.0,SE,35.75,0.0,0.0
40,41,2010,1,2,16,4,-1,-1,-1,164,-9.0,73.0,1026.0,-5.0,SE,37.54,0.0,0.0
41,42,2010,1,2,17,4,-1,-1,-1,170,-8.0,79.0,1027.0,-5.0,SE,39.33,0.0,0.0
42,43,2010,1,2,18,4,-1,-1,-1,149,-8.0,79.0,1027.0,-5.0,SE,42.46,0.0,0.0
43,44,2010,1,2,19,4,-1,-1,-1,154,-8.0,79.0,1028.0,-5.0,SE,44.25,0.0,0.0
44,45,2010,1,2,20,4,-1,-1,-1,164,-7.0,85.0,1028.0,-5.0,SE,46.04,0.0,0.0
45,46,2010,1,2,21,4,-1,-1,-1,156,-7.0,85.0,1027.0,-5.0,SE,49.17,0.0,0.0
46,47,2010,1,2,22,4,-1,-1,-1,126,-8.0,85.0,1028.0,-6.0,SE,52.3,0.0,0.0
47,48,2010,1,2,23,4,-1,-1,-1,90,-8.0,85.0,1027.0,-6.0,SE,55.43,0.0,0.0
48,49,2010,1,3,0,4,-1,-1,-1,63,-7.0,92.0,1027.0,-6.0,SE,58.56,0.4,0.4
49,50,2010,1,3,1,4,-1,-1,-1,65,-8.0,85.0,1026.0,-6.0,SE,61.69,0.5,0.9
50,51,2010,1,3,2,4,-1,-1,-1,55,-8.0,92.0,1026.0,-7.0,SE,65.71,0.5,1.4
51,52,2010,1,3,3,4,-1,-1,-1,65,-8.0,92.0,1025.0,-7.0,SE,68.84,0.7,2.1
52,53,2010,1,3,4,4,-1,-1,-1,83,-8.0,92.0,1024.0,-7.0,SE,72.86,1.2,3.3
53,54,2010,1,3,5,4,-1,-1,-1,91,-9.0,92.0,1024.0,-8.0,SE,76.88,0.7,4.0
54,55,2010,1,3,6,4,-1,-1,-1,86,-10.0,85.0,1024.0,-8.0,SE,80.9,1.0,5.0
55,56,2010,1,3,7,4,-1,-1,-1,82,-10.0,92.0,1024.0,-9.0,SE,84.92,0.7,5.7
56,57,2010,1,3,8,4,-1,-1,-1,86,-10.0,92.0,1024.0,-9.0,SE,89.84,0.5,6.2
57,58,2010,1,3,9,4,-1,-1,-1,78,-11.0,85.0,1023.0,-9.0,SE,93.86,0.7,6.9
58,59,2010,1,3,10,4,-1,-1,-1,98,-11.0,85.0,1023.0,-9.0,SE,97.88,0.4,7.3
59,60,2010,1,3,11,4,-1,-1,-1,107,-11.0,85.0,1022.0,-9.0,SE,102.8,0.5,7.8
60,61,2010,1,3,12,4,-1,-1,-1,90,-11.0,85.0,1021.0,-9.0,SE,105.93,1.1,8.9
61,62,2010,1,3,13,4,-1,-1,-1,96,-11.0,85.0,1020.0,-9.0,SE,111.74,0.5,9.4
62,63,2010,1,3,14,4,-1,-1,-1,95,-11.0,85.0,1020.0,-9.0,SE,116.66,0.3,9.7
63,64,2010,1,3,15,4,-1,-1,-1,86,-11.0,85.0,1020.0,-9.0,SE,121.58,0.5,10.2
64,65,2010,1,3,16,4,-1,-1,-1,70,-11.0,85.0,1020.0,-9.0,SE,124.71,0.2,10.4
65,66,2010,1,3,17,4,-1,-1,-1,61,-11.0,85.0,1020.0,-9.0,SE,127.84,0.1,10.5
66,67,2010,1,3,18,4,-1,-1,-1,53,-11.0,85.0,1021.0,-9.0,NW,0.89,0.4,10.9
67,68,2010,1,3,19,4,-1,-1,-1,71,-11.0,85.0,1022.0,-9.0,NW,1.78,0.3,11.2
68,69,2010,1,3,20,4,-1,-1,-1,72,-10.0,92.0,1022.0,-9.0,NW,4.02,0.0,0.0
69,70,2010,1,3,21,4,-1,-1,-1,76,-11.0,92.0,1023.0,-10.0,NW,7.15,0.0,0.0
70,71,2010,1,3,22,4,-1,-1,-1,73,-11.0,85.0,1023.0,-9.0,NW,11.17,0.0,0.0
71,72,2010,1,3,23,4,-1,-1,-1,79,-12.0,92.0,1023.0,-11.0,NW,14.3,0.0,0.0
72,73,2010,1,4,0,4,-1,-1,-1,58,-14.0,85.0,1023.0,-12.0,NW,16.09,0.0,0.0
73,74,2010,1,4,1,4,-1,-1,-1,25,-16.0,56.0,1023.0,-9.0,NW,21.9,0.0,0.0
74,75,2010,1,4,2,4,-1,-1,-1,26,-17.0,56.0,1024.0,-10.0,NW,29.95,0.0,0.0
75,76,2010,1,4,3,4,-1,-1,-1,28,-18.0,56.0,1024.0,-11.0,NW,39.78,0.0,0.0
76,77,2010,1,4,4,4,-1,-1,-1,26,-19.0,51.0,1025.0,-11.0,NW,48.72,0.0,0.0
77,78,2010,1,4,5,4,-1,-1,-1,20,-20.0,51.0,1026.0,-12.0,NW,55.87,0.0,0.0
78,79,2010,1,4,6,4,-1,-1,-1,29,-21.0,47.0,1027.0,-12.0,NW,64.81,0.0,0.0
79,80,2010,1,4,7,4,-1,-1,-1,26,-21.0,51.0,1027.0,-13.0,NW,73.75,0.0,0.0
80,81,2010,1,4,8,4,-1,-1,-1,27,-22.0,46.0,1028.0,-13.0,NW,80.9,0.0,0.0
81,82,2010,1,4,9,4,-1,-1,-1,27,-22.0,46.0,1029.0,-13.0,NW,90.73,0.0,0.0
82,83,2010,1,4,10,4,-1,-1,-1,25,-22.0,43.0,1030.0,-12.0,NW,100.56,0.0,0.0
83,84,2010,1,4,11,4,-1,-1,-1,29,-23.0,39.0,1031.0,-12.0,NW,108.61,0.0,0.0
84,85,2010,1,4,12,4,-1,-1,-1,32,-21.0,43.0,1030.0,-11.0,NW,117.55,0.0,0.0
85,86,2010,1,4,13,4,-1,-1,-1,28,-20.0,43.0,1030.0,-10.0,NW,127.38,0.0,0.0
86,87,2010,1,4,14,4,-1,-1,-1,29,-21.0,40.0,1030.0,-10.0,NW,136.32,0.0,0.0
87,88,2010,1,4,15,4,-1,-1,-1,30,-21.0,37.0,1030.0,-9.0,NW,145.26,0.0,0.0
88,89,2010,1,4,16,4,-1,-1,-1,30,-21.0,37.0,1031.0,-9.0,NW,152.41,0.0,0.0
89,90,2010,1,4,17,4,-1,-1,-1,28,-20.0,47.0,1032.0,-11.0,NW,159.56,0.0,0.0
90,91,2010,1,4,18,4,-1,-1,-1,26,-23.0,36.0,1032.0,-11.0,NW,165.37,0.0,0.0
91,92,2010,1,4,19,4,-1,-1,-1,31,-21.0,47.0,1033.0,-12.0,NW,171.18,0.0,0.0
92,93,2010,1,4,20,4,-1,-1,-1,33,-24.0,36.0,1034.0,-12.0,NW,180.12,0.0,0.0
93,94,2010,1,4,21,4,-1,-1,-1,29,-24.0,39.0,1034.0,-13.0,NW,187.27,0.0,0.0
94,95,2010,1,4,22,4,-1,-1,-1,31,-24.0,39.0,1035.0,-13.0,NW,195.32,0.0,0.0
95,96,2010,1,4,23,4,-1,-1,-1,30,-26.0,38.0,1035.0,-15.0,NW,198.45,0.0,0.0
96,97,2010,1,5,0,4,-1,-1,-1,34,-26.0,45.0,1035.0,-17.0,NW,201.58,0.0,0.0
97,98,2010,1,5,1,4,-1,-1,-1,27,-26.0,49.0,1035.0,-18.0,NW,205.6,0.0,0.0
98,99,2010,1,5,2,4,-1,-1,-1,25,-26.0,53.0,1035.0,-19.0,NW,208.73,0.0,0.0
99,100,2010,1,5,3,4,-1,-1,-1,28,-27.0,45.0,1035.0,-18.0,NW,213.65,0.0,0.0
100,101,2010,1,5,4,4,-1,-1,-1,28,-27.0,49.0,1035.0,-19.0,NW,218.57,0.0,0.0
101,102,2010,1,5,5,4,-1,-1,-1,27,-27.0,38.0,1034.0,-16.0,NE,4.92,0.0,0.0
102,103,2010,1,5,6,4,-1,-1,-1,27,-26.0,41.0,1035.0,-16.0,NE,8.05,0.0,0.0
103,104,2010,1,5,7,4,-1,-1,-1,27,-27.0,38.0,1034.0,-16.0,NE,13.86,0.0,0.0
104,105,2010,1,5,8,4,-1,-1,-1,29,-26.0,41.0,1035.0,-16.0,NE,18.78,0.0,0.0
105,106,2010,1,5,9,4,-1,-1,-1,36,-26.0,38.0,1035.0,-15.0,NE,24.59,0.0,0.0
106,107,2010,1,5,10,4,-1,-1,-1,30,-25.0,38.0,1035.0,-14.0,NE,29.51,0.0,0.0
107,108,2010,1,5,11,4,-1,-1,-1,27,-25.0,35.0,1035.0,-13.0,NE,34.43,0.0,0.0
108,109,2010,1,5,12,4,-1,-1,-1,39,-25.0,33.0,1034.0,-12.0,NE,39.35,0.0,0.0
109,110,2010,1,5,13,4,-1,-1,-1,41,-24.0,33.0,1032.0,-11.0,NE,41.14,0.0,0.0
110,111,2010,1,5,14,4,-1,-1,-1,33,-22.0,39.0,1032.0,-11.0,NW,0.89,0.0,0.0
111,112,2010,1,5,15,4,-1,-1,-1,50,-23.0,36.0,1031.0,-11.0,NW,1.79,0.0,0.0
112,113,2010,1,5,16,4,-1,-1,-1,56,-24.0,33.0,1031.0,-11.0,NW,3.58,0.0,0.0
113,114,2010,1,5,17,4,-1,-1,-1,59,-23.0,36.0,1031.0,-11.0,NW,5.37,0.0,0.0
114,115,2010,1,5,18,4,-1,-1,-1,60,-23.0,36.0,1032.0,-11.0,NW,7.16,0.0,0.0
115,116,2010,1,5,19,4,-1,-1,-1,84,-22.0,46.0,1033.0,-13.0,NW,10.29,0.0,0.0
116,117,2010,1,5,20,4,-1,-1,-1,106,-22.0,43.0,1033.0,-12.0,NW,13.42,0.0,0.0
117,118,2010,1,5,21,4,-1,-1,-1,66,-24.0,59.0,1033.0,-18.0,NW,16.55,0.0,0.0
118,119,2010,1,5,22,4,-1,-1,-1,50,-22.0,46.0,1034.0,-13.0,NW,20.57,0.0,0.0
119,120,2010,1,5,23,4,-1,-1,-1,56,-22.0,59.0,1033.0,-16.0,NW,23.7,0.0,0.0
120,121,2010,1,6,0,4,-1,-1,-1,77,-25.0,49.0,1033.0,-17.0,NW,26.83,0.0,0.0
121,122,2010,1,6,1,4,-1,-1,-1,50,-25.0,38.0,1033.0,-14.0,NE,4.02,0.0,0.0
122,123,2010,1,6,2,4,-1,-1,-1,44,-26.0,35.0,1034.0,-14.0,NE,8.04,0.0,0.0
123,124,2010,1,6,3,4,-1,-1,-1,27,-26.0,35.0,1033.0,-14.0,NE,13.85,0.0,0.0
124,125,2010,1,6,4,4,-1,-1,-1,28,-26.0,35.0,1033.0,-14.0,NE,17.87,0.0,0.0
125,126,2010,1,6,5,4,-1,-1,-1,21,-26.0,35.0,1033.0,-14.0,NE,23.68,0.0,0.0
126,127,2010,1,6,6,4,-1,-1,-1,25,-26.0,35.0,1033.0,-14.0,NE,28.6,0.0,0.0
127,128,2010,1,6,7,4,-1,-1,-1,20,-26.0,38.0,1034.0,-15.0,NE,33.52,0.0,0.0
128,129,2010,1,6,8,4,-1,-1,-1,29,-26.0,35.0,1034.0,-14.0,NE,39.33,0.0,0.0
129,130,2010,1,6,9,4,-1,-1,-1,34,-25.0,35.0,1035.0,-13.0,NE,44.25,0.0,0.0
130,131,2010,1,6,10,4,-1,-1,-1,42,-25.0,33.0,1035.0,-12.0,NE,50.06,0.0,0.0
131,132,2010,1,6,11,4,-1,-1,-1,28,-24.0,33.0,1035.0,-11.0,NE,54.98,0.0,0.0
132,133,2010,1,6,12,4,-1,-1,-1,36,-24.0,30.0,1034.0,-10.0,NE,59.0,0.0,0.0
133,134,2010,1,6,13,4,-1,-1,-1,48,-22.0,36.0,1033.0,-10.0,NW,4.02,0.0,0.0
134,135,2010,1,6,14,4,-1,-1,-1,49,-22.0,34.0,1033.0,-9.0,NW,5.81,0.0,0.0
135,136,2010,1,6,15,4,-1,-1,-1,52,-22.0,31.0,1033.0,-8.0,NW,0.89,0.0,0.0
136,137,2010,1,6,16,4,-1,-1,-1,56,-22.0,31.0,1033.0,-8.0,NW,1.79,0.0,0.0
137,138,2010,1,6,17,4,-1,-1,-1,96,-21.0,37.0,1033.0,-9.0,NW,3.58,0.0,0.0
138,139,2010,1,6,18,4,-1,-1,-1,75,-22.0,34.0,1033.0,-9.0,NW,5.37,0.0,0.0
139,140,2010,1,6,19,4,-1,-1,-1,105,-22.0,50.0,1034.0,-14.0,NW,0.89,0.0,0.0
140,141,2010,1,6,20,4,-1,-1,-1,132,-22.0,43.0,1035.0,-12.0,NW,1.79,0.0,0.0
141,142,2010,1,6,21,4,-1,-1,-1,93,-21.0,55.0,1034.0,-14.0,NW,3.58,0.0,0.0
142,143,2010,1,6,22,4,-1,-1,-1,131,-22.0,59.0,1035.0,-16.0,NW,5.37,0.0,0.0
143,144,2010,1,6,23,4,-1,-1,-1,127,-21.0,65.0,1035.0,-16.0,NW,7.16,0.0,0.0
144,145,2010,1,7,0,4,-1,-1,-1,130,-21.0,65.0,1035.0,-16.0,NW,8.95,0.0,0.0
145,146,2010,1,7,1,4,-1,-1,-1,43,-21.0,65.0,1035.0,-16.0,NW,0.45,0.0,0.0
146,147,2010,1,7,2,4,-1,-1,-1,37,-22.0,70.0,1036.0,-18.0,NW,1.34,0.0,0.0
147,148,2010,1,7,3,4,-1,-1,-1,30,-23.0,50.0,1036.0,-15.0,NW,4.02,0.0,0.0
148,149,2010,1,7,4,4,-1,-1,-1,28,-24.0,50.0,1035.0,-16.0,NW,7.15,0.0,0.0
149,150,2010,1,7,5,4,-1,-1,-1,24,-25.0,42.0,1035.0,-15.0,NW,10.28,0.0,0.0
150,151,2010,1,7,6,4,-1,-1,-1,23,-24.0,46.0,1035.0,-15.0,NW,14.3,0.0,0.0
151,152,2010,1,7,7,4,-1,-1,-1,24,-25.0,35.0,1036.0,-13.0,NE,4.92,0.0,0.0
152,153,2010,1,7,8,4,-1,-1,-1,27,-24.0,42.0,1036.0,-14.0,NW,4.02,0.0,0.0
153,154,2010,1,7,9,4,-1,-1,-1,40,-23.0,39.0,1036.0,-12.0,NW,8.94,0.0,0.0
154,155,2010,1,7,10,4,-1,-1,-1,42,-22.0,39.0,1036.0,-11.0,NW,12.96,0.0,0.0
155,156,2010,1,7,11,4,-1,-1,-1,42,-20.0,43.0,1036.0,-10.0,NW,16.09,0.0,0.0
156,157,2010,1,7,12,4,-1,-1,-1,55,-21.0,37.0,1035.0,-9.0,NW,19.22,0.0,0.0
157,158,2010,1,7,13,4,-1,-1,-1,52,-21.0,34.0,1034.0,-8.0,NW,21.01,0.0,0.0
158,159,2010,1,7,14,4,-1,-1,-1,51,-20.0,34.0,1033.0,-7.0,NW,22.8,0.0,0.0
159,160,2010,1,7,15,4,-1,-1,-1,57,-20.0,34.0,1032.0,-7.0,NW,24.59,0.0,0.0
160,161,2010,1,7,16,4,-1,-1,-1,50,-18.0,44.0,1032.0,-8.0,NW,26.38,0.0,0.0
161,162,2010,1,7,17,4,-1,-1,-1,54,-19.0,44.0,1032.0,-9.0,NW,28.17,0.0,0.0
162,163,2010,1,7,18,4,-1,-1,-1,67,-19.0,51.0,1032.0,-11.0,NE,0.89,0.0,0.0
163,164,2010,1,7,19,4,-1,-1,-1,106,-18.0,56.0,1033.0,-11.0,NW,1.79,0.0,0.0
164,165,2010,1,7,20,4,-1,-1,-1,159,-19.0,71.0,1032.0,-15.0,NE,1.79,0.0,0.0
165,166,2010,1,7,21,4,-1,-1,-1,198,-19.0,65.0,1032.0,-14.0,NW,0.45,0.0,0.0
166,167,2010,1,7,22,4,-1,-1,-1,190,-21.0,55.0,1032.0,-14.0,NW,1.34,0.0,0.0
167,168,2010,1,7,23,4,-1,-1,-1,210,-21.0,65.0,1032.0,-16.0,NW,2.23,0.0,0.0
168,169,2010,1,8,0,4,-1,-1,-1,195,-21.0,71.0,1031.0,-17.0,NW,1.79,0.0,0.0
169,170,2010,1,8,1,4,-1,-1,-1,275,-19.0,77.0,1031.0,-16.0,NW,3.58,0.0,0.0
170,171,2010,1,8,2,4,-1,-1,-1,164,-20.0,71.0,1031.0,-16.0,NE,0.89,0.0,0.0
171,172,2010,1,8,3,4,-1,-1,-1,110,-19.0,71.0,1030.0,-15.0,SE,0.89,0.0,0.0
172,173,2010,1,8,4,4,-1,-1,-1,100,-18.0,77.0,1030.0,-15.0,NW,0.45,0.0,0.0
173,174,2010,1,8,5,4,-1,-1,-1,81,-18.0,77.0,1029.0,-15.0,NW,1.34,0.0,0.0
174,175,2010,1,8,6,4,-1,-1,-1,71,-18.0,77.0,1029.0,-15.0,NW,1.79,0.0,0.0
175,176,2010,1,8,7,4,-1,-1,-1,66,-16.0,78.0,1029.0,-13.0,NE,0.89,0.0,0.0
176,177,2010,1,8,8,4,-1,-1,-1,92,-16.0,72.0,1029.0,-12.0,SE,0.89,0.0,0.0
177,178,2010,1,8,9,4,-1,-1,-1,135,-16.0,72.0,1030.0,-12.0,SE,1.78,0.0,0.0
178,179,2010,1,8,10,4,-1,-1,-1,155,-17.0,56.0,1030.0,-10.0,NE,0.89,0.0,0.0
179,180,2010,1,8,11,4,-1,-1,-1,198,-16.0,61.0,1029.0,-10.0,SE,0.89,0.0,0.0
180,181,2010,1,8,12,4,-1,-1,-1,250,-16.0,56.0,1028.0,-9.0,SE,3.13,0.0,0.0
181,182,2010,1,8,13,4,-1,-1,-1,200,-15.0,57.0,1026.0,-8.0,SE,4.92,0.0,0.0
182,183,2010,1,8,14,4,-1,-1,-1,231,-16.0,52.0,1026.0,-8.0,SE,0.89,0.0,0.0
183,184,2010,1,8,15,4,-1,-1,-1,250,-16.0,52.0,1025.0,-8.0,SE,1.78,0.0,0.0
184,185,2010,1,8,16,4,-1,-1,-1,212,-16.0,52.0,1025.0,-8.0,SE,2.67,0.0,0.0
185,186,2010,1,8,17,4,-1,-1,-1,219,-17.0,48.0,1025.0,-8.0,SE,0.89,0.0,0.0
186,187,2010,1,8,18,4,-1,-1,-1,227,-17.0,52.0,1026.0,-9.0,NW,0.45,0.0,0.0
187,188,2010,1,8,19,4,-1,-1,-1,226,-17.0,61.0,1026.0,-11.0,NW,1.34,0.0,0.0
188,189,2010,1,8,20,4,-1,-1,-1,225,-17.0,66.0,1026.0,-12.0,NW,1.79,0.0,0.0
189,190,2010,1,8,21,4,-1,-1,-1,168,-18.0,71.0,1027.0,-14.0,NW,1.79,0.0,0.0
190,191,2010,1,8,22,4,-1,-1,-1,169,-16.0,56.0,1027.0,-9.0,NW,4.92,0.0,0.0
191,192,2010,1,8,23,4,-1,-1,-1,165,-16.0,66.0,1027.0,-11.0,NW,6.71,0.0,0.0
192,193,2010,1,9,0,4,-1,-1,-1,159,-17.0,71.0,1027.0,-13.0,NW,0.89,0.0,0.0
193,194,2010,1,9,1,4,-1,-1,-1,167,-17.0,71.0,1027.0,-13.0,NW,3.13,0.0,0.0
194,195,2010,1,9,2,4,-1,-1,-1,196,-17.0,77.0,1027.0,-14.0,NW,4.92,0.0,0.0
195,196,2010,1,9,3,4,-1,-1,-1,169,-17.0,84.0,1027.0,-15.0,NW,8.05,0.0,0.0
196,197,2010,1,9,4,4,-1,-1,-1,155,-17.0,71.0,1027.0,-13.0,NW,9.84,0.0,0.0
197,198,2010,1,9,5,4,-1,-1,-1,119,-19.0,77.0,1027.0,-16.0,NW,13.86,0.0,0.0
198,199,2010,1,9,6,4,-1,-1,-1,106,-18.0,77.0,1027.0,-15.0,NW,17.88,0.0,0.0
199,200,2010,1,9,7,4,-1,-1,-1,93,-19.0,71.0,1027.0,-15.0,NW,21.9,0.0,0.0
200,201,2010,1,9,8,4,-1,-1,-1,84,-18.0,71.0,1028.0,-14.0,NW,25.92,0.0,0.0
201,202,2010,1,9,9,4,-1,-1,-1,73,-18.0,48.0,1029.0,-9.0,NE,5.81,0.0,0.0
202,203,2010,1,9,10,4,-1,-1,-1,66,-17.0,44.0,1029.0,-7.0,NE,11.62,0.0,0.0
203,204,2010,1,9,11,4,-1,-1,-1,40,-17.0,41.0,1030.0,-6.0,NE,17.43,0.0,0.0
204,205,2010,1,9,12,4,-1,-1,-1,49,-16.0,45.0,1029.0,-6.0,NE,23.24,0.0,0.0
205,206,2010,1,9,13,4,-1,-1,-1,50,-16.0,41.0,1029.0,-5.0,NE,28.16,0.0,0.0
206,207,2010,1,9,14,4,-1,-1,-1,49,-15.0,42.0,1029.0,-4.0,NE,33.08,0.0,0.0
207,208,2010,1,9,15,4,-1,-1,-1,41,-14.0,45.0,1028.0,-4.0,NE,37.1,0.0,0.0
208,209,2010,1,9,16,4,-1,-1,-1,37,-15.0,42.0,1029.0,-4.0,NE,38.89,0.0,0.0
209,210,2010,1,9,17,4,-1,-1,-1,45,-15.0,42.0,1030.0,-4.0,NW,1.79,0.0,0.0
210,211,2010,1,9,18,4,-1,-1,-1,44,-15.0,52.0,1030.0,-7.0,NE,3.13,0.0,0.0
211,212,2010,1,9,19,4,-1,-1,-1,54,-15.0,48.0,1031.0,-6.0,NW,3.13,0.0,0.0
212,213,2010,1,9,20,4,-1,-1,-1,50,-15.0,52.0,1032.0,-7.0,NW,4.92,0.0,0.0
213,214,2010,1,9,21,4,-1,-1,-1,47,-15.0,48.0,1032.0,-6.0,NE,3.13,0.0,0.0
214,215,2010,1,9,22,4,-1,-1,-1,66,-15.0,57.0,1033.0,-8.0,NW,0.45,0.0,0.0
215,216,2010,1,9,23,4,-1,-1,-1,75,-15.0,57.0,1033.0,-8.0,NW,0.9,0.0,0.0
216,217,2010,1,10,0,4,-1,-1,-1,82,-15.0,72.0,1033.0,-11.0,NW,0.89,0.0,0.0
217,218,2010,1,10,1,4,-1,-1,-1,66,-17.0,71.0,1033.0,-13.0,NW,1.78,0.0,0.0
218,219,2010,1,10,2,4,-1,-1,-1,83,-17.0,66.0,1033.0,-12.0,NW,4.91,0.0,0.0
219,220,2010,1,10,3,4,-1,-1,-1,62,-17.0,71.0,1033.0,-13.0,NW,8.04,0.0,0.0
220,221,2010,1,10,4,4,-1,-1,-1,40,-19.0,65.0,1032.0,-14.0,NW,9.83,0.0,0.0
221,222,2010,1,10,5,4,-1,-1,-1,23,-18.0,66.0,1032.0,-13.0,NW,12.96,0.0,0.0
222,223,2010,1,10,6,4,-1,-1,-1,25,-19.0,60.0,1032.0,-13.0,NW,16.09,0.0,0.0
223,224,2010,1,10,7,4,-1,-1,-1,27,-19.0,65.0,1033.0,-14.0,NW,19.22,0.0,0.0
224,225,2010,1,10,8,4,-1,-1,-1,35,-19.0,65.0,1034.0,-14.0,NW,22.35,0.0,0.0
225,226,2010,1,10,9,4,-1,-1,-1,50,-17.0,66.0,1033.0,-12.0,NW,24.14,0.0,0.0
226,227,2010,1,10,10,4,-1,-1,-1,70,-16.0,48.0,1033.0,-7.0,NE,4.02,0.0,0.0
227,228,2010,1,10,11,4,-1,-1,-1,75,-15.0,52.0,1033.0,-7.0,NW,3.13,0.0,0.0
228,229,2010,1,10,12,4,-1,-1,-1,58,-15.0,52.0,1032.0,-7.0,NW,6.26,0.0,0.0
